id,summary,languages,country,experience_level,deadline,interest_ids
a7da9fdc-dd74-464b-97b5-b3d3dc3f504e,"Bizzle squizzle snop spronk blizzle splurge glimmer quixle zobble chizzle fuddle. Quibble wizzle plix noggle dabble quibble fizz gobble bizzle spizzle noggle wobble jibble sprockle woggle crackle dabble. Splizzle quixle jibble mizzle frizzle quibble flabble, quazzle wibber jib sproogle. Doodle schnizzle, quazzle.","[""Byteish"",""Cyphertongue"",""Robolingo""]","Obsidian Isle",intermediate,"2024-01-27 13:22:40 +6:00","[""313fb3d7-cf5e-426f-b4d4-681bba680e72""]"
f6be4b2e-4061-4361-8e1f-7bcbda45418e,"Snop schnizzle snipple zix snizzle squabble frabble flabble zobble sprockle skizzle chizzle, blizzle sprocket whiz crackle quixle splonker splonker. Squickle bizzle crackle drizzle spizzle quip dribble wizzle jib, skizzle mizzle chizzle splizzle snort snizzle snipple flabble woggle blizzle. Sproogle trizzle fizz snip blizzle doodle drizzle squizzle blib, drizzle fuzzle sproop drizzle blizzle spizzle frozzle fuddle splurge splizzle. Splotch wobble.","[""Byteish""]","Novarctica",intermediate,"2024-02-07 13:22:40 -9:00","[]"
f2025517-c4c3-4927-8df6-06183f6146e4,"Quibble fizz bizzle squickle zizzle sprocket squickle plix sprock zizzle spronk squabble schnizzle. Skizzle plix quibble blib squizzle blip splonker schnizzle blip splizzle wibber splurge snop splurge flib wobble wump frizzle. Skizzle flib bizzle wuddle sprocket jibble noggle sprock splurge, snort doodle dabble twizzle drizzle sprockle.","[""Byteish"",""Datalex"",""Alscript""]","Obsidian Isle",intermediate,"2024-02-10 13:22:40 +3:00","[]"
38edf0ad-3e8a-4b85-a2ab-8169b30e7eda,"Squizzle squickle blip jibble gobble, splizzle snizzle snizzle spronk squabble. Quibble sprocket whip wuddle squirk chizzle, wobble zibber splurge jibber zibber spooner snop. Splurge woggle wuddle wham blizzle twizzle wobble dabble frozzle trizzle skizzle jibble splurge splotch sprock zorp sprocket. Quibble splurge spronk, flabble.","[""Hololect"",""Cyphertongue"",""Siliconian""]","Narnia",advanced,"2024-03-10 14:22:40 +8:00","[""3c0784d0-7c1b-4ab7-a4c9-c9477b457b6c""]"
aa87b951-e7c0-4a23-80c5-e51370fc1233,"Twibble zix spooner zizzle wibber squabble wobble squizzle snizzle, sprocket snipple jibble fizz splizzle crackle. Splotch quazzle schnizzle blibber flibber splotch, snizzle splotch zobble jib wobble wobble dribble. Chizzle quazzle sproogle splizzle nix, quibble flibber blabble jibble twizzle. Wham quackle spooner, quip snip dribble.","[""Siliconian""]","Solsticea",beginner,"2024-01-27 13:22:40 -9:00","[]"
760a0c73-aaa9-4fba-b24e-df18572c413e,"Whip spizzle spronk twizzle fizz splurge gobble splizzle wizzle crackle sprock schnizzle flibber drizzle blib splurge snickle. Zorp skizzle schnizzle zobble wobble frabble blizzle zorp squizzle twizzle schnizzle doodle fizz quip wizzle sprocket gobble sprocket. Spooner crackle splurge fluddle squabble gobble sproogle blib plix sprock quibble. Skizzle jib crackle crackle, splonker noodle wobble.","[""Robolingo"",""Byteish""]","Lumaria",expert,"2024-03-06 13:22:40 +12:00","[""8c3642d0-00cf-4fc6-9a4f-c91d9526de98""]"
03ff4b59-361d-49a0-874e-7c2717b4a1a5,"Frizzle snort dabble fizzbuzz squizzle snickle, wuddle zizzle flabble chizzle bizzle noodle plix. Frabble frizzle jib splotch squabble frizzle wibber frizzle mizzle wobble quazzle. Fluddle flabble wham gobble squizzle sprocket zizzle twibble wobble dabble fizz plix. Frozzle squirk mizzle crackle wham mizzle fuddle, jibble splurge wibble doodle. Frozzle schnizzle snop, dabble spizzle wuddle.","[""Siliconian"",""Technophrase""]","Astralonia",advanced,"2023-12-16 13:22:40 +0:00","[""38454229-ef74-44f4-b464-a8771bdf0b8a""]"
5f67a349-8e90-4c85-bb0e-4168695d5a72,"Wibber sprock zibber dribble sprock quibble fuddle woggle flap plix crackle zix bizzle mizzle spronk quazzle noggle. Spizzle sprocket snort skizzle sproogle crackle dribble wham jib flap. Snizzle wibble wobble jib blibber, wibble zorp flap spronk splotch. Splurge mizzle blib squizzle wibble schnizzle whip frizzle skizzle plix squizzle.","[""Cyphertongue""]","Novarctica",intermediate,"2024-02-11 13:22:40 -4:00","[]"
8853c760-0ea3-4b9a-8d27-588cc5ece2b6,"Blibber squizzle jib quibble schnizzle spronk zibber fuzzle snizzle flibber. Splonker spronk drizzle flibber whiz schnizzle blizzle squizzle splizzle zorp skizzle skizzle quackle snort fluddle fuzzle. Frozzle sproop fizz flib whip splurge zizzle splurge quibble blip sprock mizzle squizzle drizzle splurge noodle squizzle.","[""Quantumese"",""Byteish""]","Elindor",expert,"2024-03-17 14:22:40 +6:00","[]"
1395a51c-0205-483c-8868-01ffa8d74c57,"Blib fluddle twibble fizzbuzz quackle zix gobble quackle wobble quazzle gobble sprocket splotch gobble chizzle zizzle splotch blibber squirk. Crackle sproogle mizzle frizzle squirk snop snipple zizzle dribble noggle sprockle crackle snipple wibble jibble jib zorp squirk crackle. Blabble chizzle spizzle fuddle, fizzbuzz wibber schnizzle skizzle whiz.","[""Cyberspeak"",""Hololect""]","Novarctica",advanced,"2024-03-08 13:22:40 +5:00","[""08e53ef9-650c-4aef-9f79-2a6d25223563"",""89f0e2c0-76b2-4b2d-8956-6dc3ac20b07e""]"
